task_id,year,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,2010,classif.ranger,repeated_cv,16,0.8241991173244984,1000,26,107
attempt,2010,classif.ranger,repeated_cv,16,0.8229096288404174,1000,25,40
attempt,2010,classif.ranger,repeated_cv,16,0.8264215845820956,1000,23,292
attempt,2010,classif.ranger,repeated_cv,16,0.8225597757665306,1000,21,86
attempt,2010,classif.ranger,repeated_cv,16,0.8231314677442401,1000,28,55
attempt,2010,classif.ranger,repeated_cv,16,0.8234573657981893,1000,19,158
attempt,2010,classif.ranger,repeated_cv,16,0.8247126555339335,1000,20,164
attempt,2010,classif.ranger,repeated_cv,16,0.8250737349873405,1000,24,210
attempt,2010,classif.ranger,repeated_cv,16,0.8240422468871973,1000,27,76
attempt,2010,classif.ranger,repeated_cv,16,0.821376157305139,1000,11,12
attempt,2010,classif.ranger,repeated_cv,16,0.8243640827391805,1000,25,60
attempt,2010,classif.ranger,repeated_cv,16,0.8231264315825886,1000,17,146
attempt,2010,classif.ranger,repeated_cv,16,0.826541399542662,1000,25,300
attempt,2010,classif.ranger,repeated_cv,16,0.8207124595312868,1000,10,30
attempt,2010,classif.ranger,repeated_cv,16,0.8204412100218709,1000,9,181
attempt,2010,classif.ranger,repeated_cv,16,0.8242873755061662,1000,20,188
attempt,2010,classif.ranger,repeated_cv,16,0.8215874101570357,1000,14,92
attempt,2010,classif.ranger,repeated_cv,16,0.8215616115162567,1000,13,109
attempt,2010,classif.ranger,repeated_cv,16,0.8244536580459528,1000,19,188
attempt,2010,classif.ranger,repeated_cv,16,0.8226338037575359,1000,20,76
attempt,2011,classif.ranger,repeated_cv,16,0.8251979444486396,1000,16,183
attempt,2011,classif.ranger,repeated_cv,16,0.8245637985774092,1000,19,89
attempt,2011,classif.ranger,repeated_cv,16,0.8276428158149746,1000,18,267
attempt,2011,classif.ranger,repeated_cv,16,0.8274654579089882,1000,28,154
attempt,2011,classif.ranger,repeated_cv,16,0.8246622769440235,1000,13,147
attempt,2011,classif.ranger,repeated_cv,16,0.825396257279394,1000,25,23
attempt,2011,classif.ranger,repeated_cv,16,0.8256348229839611,1000,25,71
attempt,2011,classif.ranger,repeated_cv,16,0.82587498121128,1000,18,216
attempt,2011,classif.ranger,repeated_cv,16,0.8284542689244602,1000,26,2
attempt,2011,classif.ranger,repeated_cv,16,0.8254785528132096,1000,12,267
attempt,2011,classif.ranger,repeated_cv,16,0.8271764127554792,1000,28,152
attempt,2011,classif.ranger,repeated_cv,16,0.8261938897429352,1000,14,13
attempt,2011,classif.ranger,repeated_cv,16,0.8235539090043072,1000,15,59
attempt,2011,classif.ranger,repeated_cv,16,0.8255263359038183,1000,25,22
attempt,2011,classif.ranger,repeated_cv,16,0.8264352429879728,1000,18,91
attempt,2011,classif.ranger,repeated_cv,16,0.8254721874260802,1000,20,86
attempt,2011,classif.ranger,repeated_cv,16,0.8261024217918324,1000,17,158
attempt,2011,classif.ranger,repeated_cv,16,0.8253495929252836,1000,12,268
attempt,2011,classif.ranger,repeated_cv,16,0.8242710650517906,1000,9,246
attempt,2011,classif.ranger,repeated_cv,16,0.8282900103244986,1000,27,248
attempt,2012,classif.ranger,repeated_cv,16,0.8261910835975224,1000,17,198
attempt,2012,classif.ranger,repeated_cv,16,0.8283332555663998,1000,22,249
attempt,2012,classif.ranger,repeated_cv,16,0.8235199334865086,1000,9,282
attempt,2012,classif.ranger,repeated_cv,16,0.822462332866887,1000,11,79
attempt,2012,classif.ranger,repeated_cv,16,0.8262452389442277,1000,29,80
attempt,2012,classif.ranger,repeated_cv,16,0.8258730401634877,1000,16,134
attempt,2012,classif.ranger,repeated_cv,16,0.8282683239357792,1000,22,287
attempt,2012,classif.ranger,repeated_cv,16,0.8246864105118241,1000,16,116
attempt,2012,classif.ranger,repeated_cv,16,0.8262405059595438,1000,17,294
attempt,2012,classif.ranger,repeated_cv,16,0.8261602091488099,1000,17,188
attempt,2012,classif.ranger,repeated_cv,16,0.8270653212975645,1000,24,153
attempt,2012,classif.ranger,repeated_cv,16,0.8279092957664858,1000,22,259
attempt,2012,classif.ranger,repeated_cv,16,0.8258571973457799,1000,18,219
attempt,2012,classif.ranger,repeated_cv,16,0.826428439064523,1000,26,104
attempt,2012,classif.ranger,repeated_cv,16,0.8279825881236261,1000,24,299
attempt,2012,classif.ranger,repeated_cv,16,0.8262714206591016,1000,18,228
attempt,2012,classif.ranger,repeated_cv,16,0.8245154163336729,1000,25,36
attempt,2012,classif.ranger,repeated_cv,16,0.8284622029177734,1000,27,252
attempt,2012,classif.ranger,repeated_cv,16,0.825230921333728,1000,17,20
attempt,2012,classif.ranger,repeated_cv,16,0.8278622298149718,1000,27,211
attempt,2013,classif.ranger,repeated_cv,16,0.8282473591616085,1000,17,6
attempt,2013,classif.ranger,repeated_cv,16,0.8257262873564464,1000,10,114
attempt,2013,classif.ranger,repeated_cv,16,0.8279780101072262,1000,16,23
attempt,2013,classif.ranger,repeated_cv,16,0.8303821049479505,1000,25,219
attempt,2013,classif.ranger,repeated_cv,16,0.825568019599069,1000,14,57
attempt,2013,classif.ranger,repeated_cv,16,0.8275016009160362,1000,12,244
attempt,2013,classif.ranger,repeated_cv,16,0.8290915953960829,1000,17,287
attempt,2013,classif.ranger,repeated_cv,16,0.8272553957310347,1000,13,155
attempt,2013,classif.ranger,repeated_cv,16,0.8281689889184252,1000,25,106
attempt,2013,classif.ranger,repeated_cv,16,0.8278301356831994,1000,21,40
attempt,2013,classif.ranger,repeated_cv,16,0.8263863755826091,1000,12,175
attempt,2013,classif.ranger,repeated_cv,16,0.8304455534105326,1000,29,1
attempt,2013,classif.ranger,repeated_cv,16,0.8262444708892749,1000,10,125
attempt,2013,classif.ranger,repeated_cv,16,0.8264464547285717,1000,13,127
attempt,2013,classif.ranger,repeated_cv,16,0.8251791762897761,1000,8,129
attempt,2013,classif.ranger,repeated_cv,16,0.8280582344359548,1000,15,294
attempt,2013,classif.ranger,repeated_cv,16,0.8271735264089584,1000,15,46
attempt,2013,classif.ranger,repeated_cv,16,0.8286701224583398,1000,23,227
attempt,2013,classif.ranger,repeated_cv,16,0.8302301539607206,1000,30,262
attempt,2013,classif.ranger,repeated_cv,16,0.8255324012972213,1000,9,177
attempt,2014,classif.ranger,repeated_cv,16,0.8258317196599345,1000,26,157
attempt,2014,classif.ranger,repeated_cv,16,0.8239179880348353,1000,13,202
attempt,2014,classif.ranger,repeated_cv,16,0.8243192619894666,1000,23,121
attempt,2014,classif.ranger,repeated_cv,16,0.8229587718869158,1000,23,15
attempt,2014,classif.ranger,repeated_cv,16,0.8256182431460601,1000,22,217
attempt,2014,classif.ranger,repeated_cv,16,0.8260781296462643,1000,26,232
attempt,2014,classif.ranger,repeated_cv,16,0.8218518677977159,1000,19,61
attempt,2014,classif.ranger,repeated_cv,16,0.8242933768350917,1000,30,69
attempt,2014,classif.ranger,repeated_cv,16,0.825822260624369,1000,23,199
attempt,2014,classif.ranger,repeated_cv,16,0.8259907597834587,1000,12,274
attempt,2014,classif.ranger,repeated_cv,16,0.8240828788515447,1000,25,29
attempt,2014,classif.ranger,repeated_cv,16,0.8238088826573373,1000,17,136
attempt,2014,classif.ranger,repeated_cv,16,0.8256423323072957,1000,18,271
attempt,2014,classif.ranger,repeated_cv,16,0.8236783086640636,1000,13,151
attempt,2014,classif.ranger,repeated_cv,16,0.8222734186334407,1000,11,70
attempt,2014,classif.ranger,repeated_cv,16,0.8250018441812269,1000,20,184
attempt,2014,classif.ranger,repeated_cv,16,0.824440603043459,1000,9,241
attempt,2014,classif.ranger,repeated_cv,16,0.8222623413262701,1000,14,68
attempt,2014,classif.ranger,repeated_cv,16,0.8243663281754664,1000,24,120
attempt,2014,classif.ranger,repeated_cv,16,0.8224822087646223,1000,16,36
attempt,2015,classif.ranger,repeated_cv,16,0.8257682786681715,1000,13,9
attempt,2015,classif.ranger,repeated_cv,16,0.8224452917121112,1000,12,127
attempt,2015,classif.ranger,repeated_cv,16,0.8244950447295956,1000,8,295
attempt,2015,classif.ranger,repeated_cv,16,0.8252758887625955,1000,22,36
attempt,2015,classif.ranger,repeated_cv,16,0.8234541478091612,1000,8,119
attempt,2015,classif.ranger,repeated_cv,16,0.8258151145906013,1000,30,199
attempt,2015,classif.ranger,repeated_cv,16,0.8250075225701166,1000,27,37
attempt,2015,classif.ranger,repeated_cv,16,0.8238882535000794,1000,15,69
attempt,2015,classif.ranger,repeated_cv,16,0.8240896359169061,1000,14,53
attempt,2015,classif.ranger,repeated_cv,16,0.8270358733550955,1000,23,182
attempt,2015,classif.ranger,repeated_cv,16,0.8260037511706131,1000,25,120
attempt,2015,classif.ranger,repeated_cv,16,0.8271364199375102,1000,30,227
attempt,2015,classif.ranger,repeated_cv,16,0.8264400764264791,1000,14,286
attempt,2015,classif.ranger,repeated_cv,16,0.823884642998266,1000,14,40
attempt,2015,classif.ranger,repeated_cv,16,0.8261321812986444,1000,12,265
attempt,2015,classif.ranger,repeated_cv,16,0.8269195657559666,1000,22,190
attempt,2015,classif.ranger,repeated_cv,16,0.8256100525978382,1000,23,140
attempt,2015,classif.ranger,repeated_cv,16,0.8279152666122914,1000,29,258
attempt,2015,classif.ranger,repeated_cv,16,0.8265010178324959,1000,29,153
attempt,2015,classif.ranger,repeated_cv,16,0.8246725551386829,1000,10,20
attempt,2016,classif.ranger,repeated_cv,16,0.825774037020608,1000,9,204
attempt,2016,classif.ranger,repeated_cv,16,0.8273946937054777,1000,9,12
attempt,2016,classif.ranger,repeated_cv,16,0.826481598805762,1000,14,28
attempt,2016,classif.ranger,repeated_cv,16,0.824293190253514,1000,8,81
attempt,2016,classif.ranger,repeated_cv,16,0.8286316036652353,1000,21,183
attempt,2016,classif.ranger,repeated_cv,16,0.8254724851831252,1000,12,99
attempt,2016,classif.ranger,repeated_cv,16,0.8310234889281676,1000,30,183
attempt,2016,classif.ranger,repeated_cv,16,0.8274594870538546,1000,16,42
attempt,2016,classif.ranger,repeated_cv,16,0.8314767810217057,1000,29,2
attempt,2016,classif.ranger,repeated_cv,16,0.8307210395089127,1000,28,6
attempt,2016,classif.ranger,repeated_cv,16,0.8280209069221527,1000,24,73
attempt,2016,classif.ranger,repeated_cv,16,0.8259361736476638,1000,12,159
attempt,2016,classif.ranger,repeated_cv,16,0.8249632336603909,1000,8,83
attempt,2016,classif.ranger,repeated_cv,16,0.8286477157268455,1000,26,76
attempt,2016,classif.ranger,repeated_cv,16,0.8278067786407156,1000,16,178
attempt,2016,classif.ranger,repeated_cv,16,0.8287556401907898,1000,20,166
attempt,2016,classif.ranger,repeated_cv,16,0.8270484369138158,1000,18,24
attempt,2016,classif.ranger,repeated_cv,16,0.8291194357786664,1000,21,174
attempt,2016,classif.ranger,repeated_cv,16,0.8292618726626827,1000,21,240
attempt,2016,classif.ranger,repeated_cv,16,0.8276877098489529,1000,16,70
attempt,2017,classif.ranger,repeated_cv,16,0.8307077519349743,1000,13,253
attempt,2017,classif.ranger,repeated_cv,16,0.8274088643205588,1000,8,114
attempt,2017,classif.ranger,repeated_cv,16,0.8310374966899636,1000,23,29
attempt,2017,classif.ranger,repeated_cv,16,0.8305155227132228,1000,23,37
attempt,2017,classif.ranger,repeated_cv,16,0.8294049643471912,1000,10,23
attempt,2017,classif.ranger,repeated_cv,16,0.8323588603996666,1000,26,175
attempt,2017,classif.ranger,repeated_cv,16,0.8308144191331088,1000,15,192
attempt,2017,classif.ranger,repeated_cv,16,0.8308134779419171,1000,19,175
attempt,2017,classif.ranger,repeated_cv,16,0.8285023766340968,1000,9,109
attempt,2017,classif.ranger,repeated_cv,16,0.8313342492941065,1000,14,270
attempt,2017,classif.ranger,repeated_cv,16,0.8302909445660536,1000,23,14
attempt,2017,classif.ranger,repeated_cv,16,0.8273975392830754,1000,9,106
attempt,2017,classif.ranger,repeated_cv,16,0.8332804866105296,1000,27,271
attempt,2017,classif.ranger,repeated_cv,16,0.8293060868186999,1000,10,16
attempt,2017,classif.ranger,repeated_cv,16,0.8340978789117495,1000,24,2
attempt,2017,classif.ranger,repeated_cv,16,0.8308179355586259,1000,21,15
attempt,2017,classif.ranger,repeated_cv,16,0.8300017250029162,1000,15,136
attempt,2017,classif.ranger,repeated_cv,16,0.8309511411232035,1000,13,288
attempt,2017,classif.ranger,repeated_cv,16,0.8293707560523791,1000,12,214
attempt,2017,classif.ranger,repeated_cv,16,0.8320693538083639,1000,19,247
attempt,2018,classif.ranger,repeated_cv,16,0.8311315614284662,1000,19,55
attempt,2018,classif.ranger,repeated_cv,16,0.8322450814832086,1000,22,200
attempt,2018,classif.ranger,repeated_cv,16,0.8301387156205425,1000,10,246
attempt,2018,classif.ranger,repeated_cv,16,0.8297934206982209,1000,12,19
attempt,2018,classif.ranger,repeated_cv,16,0.8322914302917594,1000,16,258
attempt,2018,classif.ranger,repeated_cv,16,0.8340285288022363,1000,25,278
attempt,2018,classif.ranger,repeated_cv,16,0.830073451958192,1000,14,21
attempt,2018,classif.ranger,repeated_cv,16,0.8334026499323267,1000,25,292
attempt,2018,classif.ranger,repeated_cv,16,0.8321444780689284,1000,23,160
attempt,2018,classif.ranger,repeated_cv,16,0.8296597768794184,1000,9,268
attempt,2018,classif.ranger,repeated_cv,16,0.8321435734068795,1000,26,6
attempt,2018,classif.ranger,repeated_cv,16,0.8298328290716832,1000,14,64
attempt,2018,classif.ranger,repeated_cv,16,0.8315974811693397,1000,12,288
attempt,2018,classif.ranger,repeated_cv,16,0.8292683065754437,1000,14,38
attempt,2018,classif.ranger,repeated_cv,16,0.8335629136936876,1000,29,224
attempt,2018,classif.ranger,repeated_cv,16,0.8318340005582106,1000,14,245
attempt,2018,classif.ranger,repeated_cv,16,0.8342912932736626,1000,26,3
attempt,2018,classif.ranger,repeated_cv,16,0.8320893202722731,1000,18,205
attempt,2018,classif.ranger,repeated_cv,16,0.8303826171585406,1000,19,47
attempt,2018,classif.ranger,repeated_cv,16,0.833329301144347,1000,22,281
attempt,2019,classif.ranger,repeated_cv,16,0.8309397963318312,1000,20,41
attempt,2019,classif.ranger,repeated_cv,16,0.8328447993439879,1000,28,166
attempt,2019,classif.ranger,repeated_cv,16,0.828930156802588,1000,9,87
attempt,2019,classif.ranger,repeated_cv,16,0.8324803090234546,1000,22,282
attempt,2019,classif.ranger,repeated_cv,16,0.8315489482804387,1000,17,262
attempt,2019,classif.ranger,repeated_cv,16,0.8292874623958835,1000,10,234
attempt,2019,classif.ranger,repeated_cv,16,0.8319619914080412,1000,23,215
attempt,2019,classif.ranger,repeated_cv,16,0.830653913352351,1000,15,129
attempt,2019,classif.ranger,repeated_cv,16,0.8310407227555403,1000,21,75
attempt,2019,classif.ranger,repeated_cv,16,0.8294836626787129,1000,14,42
attempt,2019,classif.ranger,repeated_cv,16,0.8282031949487105,1000,10,149
attempt,2019,classif.ranger,repeated_cv,16,0.831494411076216,1000,29,137
attempt,2019,classif.ranger,repeated_cv,16,0.8330004599370743,1000,27,182
attempt,2019,classif.ranger,repeated_cv,16,0.8318123557074685,1000,25,167
attempt,2019,classif.ranger,repeated_cv,16,0.8296337305600314,1000,10,252
attempt,2019,classif.ranger,repeated_cv,16,0.8305771419425735,1000,22,58
attempt,2019,classif.ranger,repeated_cv,16,0.829464692981934,1000,10,62
attempt,2019,classif.ranger,repeated_cv,16,0.8309086172942578,1000,25,67
attempt,2019,classif.ranger,repeated_cv,16,0.8320142861167045,1000,16,14
attempt,2019,classif.ranger,repeated_cv,16,0.8323929620328302,1000,29,174
coup,2010,classif.ranger,repeated_cv,16,0.816412372743006,1000,29,72
coup,2010,classif.ranger,repeated_cv,16,0.8195074505810199,1000,22,275
coup,2010,classif.ranger,repeated_cv,16,0.811202011058421,1000,18,42
coup,2010,classif.ranger,repeated_cv,16,0.8164982105705347,1000,23,160
coup,2010,classif.ranger,repeated_cv,16,0.8176884386784424,1000,29,5
coup,2010,classif.ranger,repeated_cv,16,0.8205140338888809,1000,17,179
coup,2010,classif.ranger,repeated_cv,16,0.82102840534954,1000,30,278
coup,2010,classif.ranger,repeated_cv,16,0.8145812908045517,1000,28,32
coup,2010,classif.ranger,repeated_cv,16,0.8202834830121722,1000,23,282
coup,2010,classif.ranger,repeated_cv,16,0.8177806051409944,1000,26,207
coup,2010,classif.ranger,repeated_cv,16,0.8191054506869836,1000,9,258
coup,2010,classif.ranger,repeated_cv,16,0.8190165477948683,1000,29,164
coup,2010,classif.ranger,repeated_cv,16,0.8165924291312443,1000,20,105
coup,2010,classif.ranger,repeated_cv,16,0.8186682953245842,1000,23,222
coup,2010,classif.ranger,repeated_cv,16,0.8171766689346559,1000,12,181
coup,2010,classif.ranger,repeated_cv,16,0.8170537060743177,1000,16,232
coup,2010,classif.ranger,repeated_cv,16,0.8151784237422692,1000,26,62
coup,2010,classif.ranger,repeated_cv,16,0.8158605617590264,1000,27,175
coup,2010,classif.ranger,repeated_cv,16,0.8127947230891666,1000,15,74
coup,2010,classif.ranger,repeated_cv,16,0.8149213386813104,1000,16,81
coup,2011,classif.ranger,repeated_cv,16,0.8132560597078146,1000,9,25
coup,2011,classif.ranger,repeated_cv,16,0.819437618469377,1000,27,280
coup,2011,classif.ranger,repeated_cv,16,0.8151027265997304,1000,11,36
coup,2011,classif.ranger,repeated_cv,16,0.8156311099189114,1000,23,132
coup,2011,classif.ranger,repeated_cv,16,0.8168969115226805,1000,27,109
coup,2011,classif.ranger,repeated_cv,16,0.814866420301938,1000,10,73
coup,2011,classif.ranger,repeated_cv,16,0.8181578333004647,1000,12,268
coup,2011,classif.ranger,repeated_cv,16,0.8172931351683703,1000,28,109
coup,2011,classif.ranger,repeated_cv,16,0.8180593492860653,1000,8,286
coup,2011,classif.ranger,repeated_cv,16,0.8161613459056406,1000,9,1
coup,2011,classif.ranger,repeated_cv,16,0.8186212354419791,1000,11,270
coup,2011,classif.ranger,repeated_cv,16,0.8172752151523488,1000,15,202
coup,2011,classif.ranger,repeated_cv,16,0.8191708236353188,1000,16,293
coup,2011,classif.ranger,repeated_cv,16,0.8198579977036786,1000,25,256
coup,2011,classif.ranger,repeated_cv,16,0.8177925674792226,1000,13,188
coup,2011,classif.ranger,repeated_cv,16,0.8162857861636509,1000,8,234
coup,2011,classif.ranger,repeated_cv,16,0.8140152339432837,1000,8,16
coup,2011,classif.ranger,repeated_cv,16,0.815668321933007,1000,12,8
coup,2011,classif.ranger,repeated_cv,16,0.8106592180085155,1000,29,24
coup,2011,classif.ranger,repeated_cv,16,0.8169572498047103,1000,14,101
coup,2012,classif.ranger,repeated_cv,16,0.820715025660022,1000,17,183
coup,2012,classif.ranger,repeated_cv,16,0.8209212388214453,1000,21,153
coup,2012,classif.ranger,repeated_cv,16,0.817155479138908,1000,20,52
coup,2012,classif.ranger,repeated_cv,16,0.8182195041551507,1000,12,192
coup,2012,classif.ranger,repeated_cv,16,0.8131937325409327,1000,20,10
coup,2012,classif.ranger,repeated_cv,16,0.82270047874747,1000,23,201
coup,2012,classif.ranger,repeated_cv,16,0.8168606945895844,1000,12,46
coup,2012,classif.ranger,repeated_cv,16,0.8149113628383183,1000,24,13
coup,2012,classif.ranger,repeated_cv,16,0.8225403274662992,1000,27,236
coup,2012,classif.ranger,repeated_cv,16,0.8222660765217732,1000,19,261
coup,2012,classif.ranger,repeated_cv,16,0.8215213931998726,1000,10,233
coup,2012,classif.ranger,repeated_cv,16,0.8180261335646173,1000,21,104
coup,2012,classif.ranger,repeated_cv,16,0.8187474352982713,1000,28,141
coup,2012,classif.ranger,repeated_cv,16,0.8166636729476159,1000,21,65
coup,2012,classif.ranger,repeated_cv,16,0.815706670620583,1000,14,19
coup,2012,classif.ranger,repeated_cv,16,0.8206138202823718,1000,14,264
coup,2012,classif.ranger,repeated_cv,16,0.8192759027966836,1000,18,112
coup,2012,classif.ranger,repeated_cv,16,0.8210843500756405,1000,19,246
coup,2012,classif.ranger,repeated_cv,16,0.8229108686949396,1000,15,300
coup,2012,classif.ranger,repeated_cv,16,0.817601455858957,1000,17,22
coup,2013,classif.ranger,repeated_cv,16,0.8118457926535798,1000,14,32
coup,2013,classif.ranger,repeated_cv,16,0.814736405955158,1000,19,79
coup,2013,classif.ranger,repeated_cv,16,0.8125019988876679,1000,13,33
coup,2013,classif.ranger,repeated_cv,16,0.8169950845400196,1000,12,270
coup,2013,classif.ranger,repeated_cv,16,0.8144330430663101,1000,23,4
coup,2013,classif.ranger,repeated_cv,16,0.8170562575304624,1000,17,143
coup,2013,classif.ranger,repeated_cv,16,0.8177042225540442,1000,18,280
coup,2013,classif.ranger,repeated_cv,16,0.8186295009060813,1000,23,295
coup,2013,classif.ranger,repeated_cv,16,0.8113007409410817,1000,8,23
coup,2013,classif.ranger,repeated_cv,16,0.8153706435626312,1000,9,275
coup,2013,classif.ranger,repeated_cv,16,0.8199836400700067,1000,23,286
coup,2013,classif.ranger,repeated_cv,16,0.8155307072689961,1000,24,98
coup,2013,classif.ranger,repeated_cv,16,0.8158196423484584,1000,16,123
coup,2013,classif.ranger,repeated_cv,16,0.8126715385286997,1000,24,4
coup,2013,classif.ranger,repeated_cv,16,0.8146521282058318,1000,30,113
coup,2013,classif.ranger,repeated_cv,16,0.8163840111407693,1000,20,150
coup,2013,classif.ranger,repeated_cv,16,0.817095466596846,1000,21,135
coup,2013,classif.ranger,repeated_cv,16,0.8124463867706948,1000,30,61
coup,2013,classif.ranger,repeated_cv,16,0.8180335087378121,1000,18,254
coup,2013,classif.ranger,repeated_cv,16,0.8098642414970499,1000,16,4
coup,2014,classif.ranger,repeated_cv,16,0.8161453857160128,1000,13,197
coup,2014,classif.ranger,repeated_cv,16,0.8125108597330092,1000,20,29
coup,2014,classif.ranger,repeated_cv,16,0.8147766469079183,1000,9,215
coup,2014,classif.ranger,repeated_cv,16,0.816069859252352,1000,15,251
coup,2014,classif.ranger,repeated_cv,16,0.8195523889276951,1000,23,266
coup,2014,classif.ranger,repeated_cv,16,0.8178048109137838,1000,29,151
coup,2014,classif.ranger,repeated_cv,16,0.8172857690763268,1000,18,230
coup,2014,classif.ranger,repeated_cv,16,0.8175720532147175,1000,20,152
coup,2014,classif.ranger,repeated_cv,16,0.8164255135727123,1000,17,204
coup,2014,classif.ranger,repeated_cv,16,0.8113755495156598,1000,19,11
coup,2014,classif.ranger,repeated_cv,16,0.8180618699812201,1000,23,184
coup,2014,classif.ranger,repeated_cv,16,0.8155839541593193,1000,24,89
coup,2014,classif.ranger,repeated_cv,16,0.8143865304739856,1000,17,118
coup,2014,classif.ranger,repeated_cv,16,0.8142945360556965,1000,9,136
coup,2014,classif.ranger,repeated_cv,16,0.8139336060911098,1000,30,46
coup,2014,classif.ranger,repeated_cv,16,0.8197139846072151,1000,28,200
coup,2014,classif.ranger,repeated_cv,16,0.8155657290396832,1000,21,168
coup,2014,classif.ranger,repeated_cv,16,0.8185854689028363,1000,29,197
